date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:00	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%226225b3-2ea-58d4e4180e5aa;594f1b3807ab4-gzip%22	http://rewebsotech.com/templates/domnoo/web/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/fonts/glyphicons-halflings-regular.44.delayed	(from http://rewebsotech.com/templates/domnoo/web/css/bootstrap.min.css)
15:21:00	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%226225b3-2ea-58d4e4180e5aa;594f1b3807ab4-gzip%22	http://rewebsotech.com/templates/domnoo/web/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/fonts/glyphicons-halflings-regular.45.delayed	(from http://rewebsotech.com/templates/domnoo/web/css/bootstrap.min.css)
15:21:01	2732/2732	---M--	200	added ('OK')	text/css	etag:%2261803f0-aac-56d49f874d600%22	http://rewebsotech.com/templates/domnoo/web/css/flaticon.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/flaticon.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:01	6951/6951	---M--	200	added ('OK')	text/css	etag:%2261803f1-1b27-5615670606300%22	http://rewebsotech.com/templates/domnoo/web/css/magnific-popup.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/magnific-popup.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:01	52789/52789	---M--	200	added ('OK')	text/css	etag:%2261803e7-ce35-571d907c8df00%22	http://rewebsotech.com/templates/domnoo/web/css/animate.min.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/animate.min.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:02	87165/87165	---M--	200	added ('OK')	application/javascript	etag:%2261804be-1547d-571c6d7f25700%22	http://rewebsotech.com/templates/domnoo/web/js/mixitup.min.js	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/js/mixitup.min.js	(from http://rewebsotech.com/templates/domnoo/web/home.html)
15:21:02	1729/1729	---M--	200	added ('OK')	text/css	etag:%2261803f6-6c1-56e1325226b80%22	http://rewebsotech.com/templates/domnoo/web/css/slick.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/slick.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:02	3158/3158	---M--	200	added ('OK')	text/css	etag:%2261803f7-c56-571d988e36880%22	http://rewebsotech.com/templates/domnoo/web/css/slick-theme.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/slick-theme.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:03	2936/2936	---M--	200	added ('OK')	text/css	etag:%2261803f3-b78-549b30990a000%22	http://rewebsotech.com/templates/domnoo/web/css/owl.carousel.min.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/owl.carousel.min.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:03	1303/1303	---M--	200	added ('OK')	text/css	etag:%2261803f4-517-549b30990a000%22	http://rewebsotech.com/templates/domnoo/web/css/owl.theme.default.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/owl.theme.default.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:03	4007/4007	---M--	200	added ('OK')	text/css	etag:%2261803f2-fa7-5326a83e07200%22	http://rewebsotech.com/templates/domnoo/web/css/nice-select.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/nice-select.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:03	6012/6012	---M--	200	added ('OK')	text/css	etag:%2261803ef-177c-55c4057305180%22	http://rewebsotech.com/templates/domnoo/web/css/dscountdown.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/dscountdown.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:04	41065/41065	---M--	200	added ('OK')	text/css	etag:%2261803f9-a069-56bdff0008c00%22	http://rewebsotech.com/templates/domnoo/web/font-awesome/css/fontawesome-all.min.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/font-awesome/css/fontawesome-all.min.css	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:05	305/305	---M--	200	added ('OK')	image/png	etag:%22618042d-131-5723f8eb0a280%22	http://rewebsotech.com/templates/domnoo/web/images/brd.png	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/images/brd.png	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:05	312/312	---M--	200	added ('OK')	image/png	etag:%226180433-138-5723f901ed880%22	http://rewebsotech.com/templates/domnoo/web/images/brd2.png	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/images/brd2.png	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:06	4786/4786	---M--	200	added ('OK')	image/png	etag:%226180415-12b2-56ccebb994480%22	http://rewebsotech.com/templates/domnoo/web/images/bg.png	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/images/bg.png	(from http://rewebsotech.com/templates/domnoo/web/css/style.css)
15:21:07	4831/4831	---M--	200	added ('OK')	text/css	etag:%2261803ea-12df-57214ae419800%22	http://rewebsotech.com/templates/domnoo/web/css/colors2.css	C:/My%20Web%20Sites/pizza/rewebsotech.com/templates/domnoo/web/css/colors2.css	(from http://rewebsotech.com/templates/domnoo/web/home2.html)
